"Name","PageCount","URL","SubNum","IsDownLoad","Status","DateTime","Num"
第08话,31,http://www.manhuagui.com/comic/32892/477894.html,477894,0,未下載,,32892
第07话,28,http://www.manhuagui.com/comic/32892/471740.html,471740,1,已下載,2020-03-03 08:17:11,32892
第06话,34,http://www.manhuagui.com/comic/32892/465917.html,465917,1,已下載,2020-03-03 08:17:52,32892
第05话,40,http://www.manhuagui.com/comic/32892/456229.html,456229,1,已下載,2020-03-03 08:18:44,32892
第04话,30,http://www.manhuagui.com/comic/32892/456228.html,456228,1,已下載,2020-03-03 08:19:22,32892
第03话,24,http://www.manhuagui.com/comic/32892/450578.html,450578,1,已下載,2020-03-03 08:19:52,32892
第02话,26,http://www.manhuagui.com/comic/32892/448508.html,448508,1,已下載,2020-03-03 08:20:26,32892
第01话,41,http://www.manhuagui.com/comic/32892/445731.html,445731,1,已下載,2020-03-03 08:21:14,32892
