"Name","PageCount","URL","SubNum","IsDownLoad","Status","DateTime","Num"
第83话收获…,50,http://www.manhuagui.com/comic/1420/415625.html,415625,0,未下載,,1420
第82话等价…,39,http://www.manhuagui.com/comic/1420/415624.html,415624,1,已下載,2019-03-23 23:43:48,1420
第81回,42,http://www.manhuagui.com/comic/1420/403725.html,403725,1,已下載,2019-03-23 23:44:18,1420
第80回,39,http://www.manhuagui.com/comic/1420/397840.html,397840,1,已下載,2019-03-23 23:44:45,1420
第79回,39,http://www.manhuagui.com/comic/1420/392314.html,392314,1,已下載,2019-03-23 23:45:13,1420
第78回,46,http://www.manhuagui.com/comic/1420/386987.html,386987,1,已下載,2019-03-23 23:45:45,1420
第77回,44,http://www.manhuagui.com/comic/1420/382082.html,382082,1,已下載,2019-03-23 23:46:15,1420
第76回,43,http://www.manhuagui.com/comic/1420/376689.html,376689,1,已下載,2019-03-23 23:46:45,1420
第75回,39,http://www.manhuagui.com/comic/1420/366110.html,366110,1,已下載,2019-03-23 23:47:11,1420
第74回,41,http://www.manhuagui.com/comic/1420/360366.html,360366,1,已下載,2019-03-23 23:47:39,1420
第73回,29,http://www.manhuagui.com/comic/1420/355507.html,355507,1,已下載,2019-03-23 23:47:59,1420
第72回,47,http://www.manhuagui.com/comic/1420/342035.html,342035,1,已下載,2019-03-23 23:48:33,1420
第71回,48,http://www.manhuagui.com/comic/1420/336530.html,336530,1,已下載,2019-03-23 23:49:07,1420
第70回,41,http://www.manhuagui.com/comic/1420/327667.html,327667,1,已下載,2019-03-23 23:49:37,1420
第69回,26,http://www.manhuagui.com/comic/1420/322252.html,322252,1,已下載,2019-03-23 23:49:58,1420
第68回,46,http://www.manhuagui.com/comic/1420/317357.html,317357,1,已下載,2019-03-23 23:50:31,1420
第67回,34,http://www.manhuagui.com/comic/1420/311756.html,311756,1,已下載,2019-03-23 23:50:56,1420
第66回,46,http://www.manhuagui.com/comic/1420/307964.html,307964,1,已下載,2019-03-23 23:51:29,1420
第65回,45,http://www.manhuagui.com/comic/1420/303034.html,303034,0,未下載,,1420
第64回,50,http://www.manhuagui.com/comic/1420/296783.html,296783,0,未下載,,1420
第63回,47,http://www.manhuagui.com/comic/1420/291457.html,291457,0,未下載,,1420
第62回,45,http://www.manhuagui.com/comic/1420/287262.html,287262,0,未下載,,1420
第61回,50,http://www.manhuagui.com/comic/1420/282091.html,282091,0,未下載,,1420
第60回,50,http://www.manhuagui.com/comic/1420/274558.html,274558,0,未下載,,1420
第59回,45,http://www.manhuagui.com/comic/1420/264076.html,264076,0,未下載,,1420
第58回,41,http://www.manhuagui.com/comic/1420/259439.html,259439,0,未下載,,1420
第57回,48,http://www.manhuagui.com/comic/1420/253699.html,253699,0,未下載,,1420
第56回,49,http://www.manhuagui.com/comic/1420/247964.html,247964,0,未下載,,1420
第55回,36,http://www.manhuagui.com/comic/1420/242589.html,242589,0,未下載,,1420
第54回,42,http://www.manhuagui.com/comic/1420/237186.html,237186,0,未下載,,1420
