"Name","PageCount","URL","SubNum","IsDownLoad","Status","DateTime","Num"
第07卷,181,http://www.manhuagui.com/comic/7966/72964.html,72964,0,未下載,,7966
第06卷,181,http://www.manhuagui.com/comic/7966/72963.html,72963,1,已下載,2019-04-26 11:21:41,7966
第05卷,181,http://www.manhuagui.com/comic/7966/72962.html,72962,1,已下載,2019-04-26 11:26:50,7966
第04卷,181,http://www.manhuagui.com/comic/7966/72961.html,72961,1,已下載,2019-04-26 11:30:11,7966
第03卷,180,http://www.manhuagui.com/comic/7966/72960.html,72960,1,已下載,2019-04-26 11:33:49,7966
第02卷,183,http://www.manhuagui.com/comic/7966/72959.html,72959,1,已下載,2019-04-26 11:36:40,7966
第01卷,182,http://www.manhuagui.com/comic/7966/72958.html,72958,1,已下載,2019-04-26 11:39:08,7966
