"Name","PageCount","URL","SubNum","IsDownLoad","Status","DateTime","Num"
第6.5话,40,http://www.manhuagui.com/comic/28711/414921.html,414921,0,未下載,,28711
第06回,30,http://www.manhuagui.com/comic/28711/401396.html,401396,1,已下載,2019-02-11 13:19:17,28711
第05回,43,http://www.manhuagui.com/comic/28711/399356.html,399356,1,已下載,2019-02-11 13:19:55,28711
第04回,54,http://www.manhuagui.com/comic/28711/394474.html,394474,1,已下載,2019-02-11 13:20:42,28711
第03回,43,http://www.manhuagui.com/comic/28711/393515.html,393515,1,已下載,2019-02-11 13:21:20,28711
第02回,35,http://www.manhuagui.com/comic/28711/389890.html,389890,1,已下載,2019-02-11 13:21:49,28711
第01回,71,http://www.manhuagui.com/comic/28711/379738.html,379738,1,已下載,2019-02-11 13:22:52,28711
第9.2话三…,31,http://www.manhuagui.com/comic/28711/441715.html,441715,1,已下載,2020-05-26 10:33:02,28711
第9.1话,27,http://www.manhuagui.com/comic/28711/432935.html,432935,1,已下載,2020-05-26 10:33:23,28711
第8话,35,http://www.manhuagui.com/comic/28711/432934.html,432934,1,已下載,2020-05-26 10:33:52,28711
第7话,11,http://www.manhuagui.com/comic/28711/423047.html,423047,1,已下載,2020-05-26 10:34:01,28711
