"Name","PageCount","URL","SubNum","IsDownLoad","Status","DateTime","Num"
第05卷,184,http://www.manhuagui.com/comic/4313/197464.html,197464,0,未下載,,4313
第04卷,187,http://www.manhuagui.com/comic/4313/197463.html,197463,1,已下載,2019-04-26 09:27:18,4313
第03卷,183,http://www.manhuagui.com/comic/4313/197462.html,197462,1,已下載,2019-04-26 09:30:36,4313
第02卷,188,http://www.manhuagui.com/comic/4313/37379.html,37379,1,已下載,2019-04-26 09:34:01,4313
第01卷,188,http://www.manhuagui.com/comic/4313/37378.html,37378,1,已下載,2019-04-26 09:37:20,4313
