NO,NAME,YEAR,ZONE,LETTER,TYPE_SUM,WRITER,NAME2,STATUS,UPDATE_TIME,NEW_PAGE,DOCUMENT,PICTURE,URL,NUM
20,贤者之孙 Extra Story,2018年,,X,,,,,2019-07-03,第4.2话,“贤者之孙”的外传小说成功漫画化！贤者梅林&导师梅琳达的传说开幕！！辛与梅林相遇在35年前。当时的阿尔斯海德高等学院中问题儿童梅林、才女梅琳达、秀才卡因慌乱地度过着学院生活。其中，野外实习发生的事件使得梅林与梅琳达关系急剧接近…！？超人气系列《贤者之孙》的外传终于迎来漫画化！！,https://cf.hamreus.com/cpic/h/30023.jpg,https://www.manhuagui.com/comic/30023/,30023
21,重来吧、魔王大人！,2017年,,C,,,,,2019-07-27,番外1,随处可见的社会人士——大野晶（おおの あきら）在自己运营的游戏内，以被称之为「魔王」角色的登陆状态下，转移到了异世界。,https://cf.hamreus.com/cpic/h/26570.jpg,https://www.manhuagui.com/comic/26570/,26570
22,超人高中生们在异世界也能活得风生水起,2016年,,C,,,,,2019-07-18,第45话 火焰的预言,由拥有地球最顶层睿智和技术的超人高中生带来的，异世界革命开幕——,https://cf.hamreus.com/cpic/h/20548.jpg,https://www.manhuagui.com/comic/20548/,20548
23,进击的巨人,2009年,,J,,,,,2019-11-08,第123话 岛上的恶魔,《进击的巨人》是日本漫画家谏山创所创作的少年漫画作品，2009年在讲谈社旗下的漫画杂志《别册少年magazine》上开始连载。获得宝岛社「这本漫画真厉害」2011年男性榜第1位！讲谈社漫画赏少年部门赏。截止至2013年8月为止，漫画10卷累计发行量突破2300万册。,https://cf.hamreus.com/cpic/h/4740.jpg,https://www.manhuagui.com/comic/4740/,4740
24,Dr.STONE,2017年,,D,,,,,2019-12-24,第134话,那一天，世界上所有的人类都……变成了石头！告白未果的热血少年大木大树和怪异度100亿%的理科天才千空在灾难中生存下来的唯二两人将如何开辟这石之纪元？原作:稻垣理一郎（光速蒙面侠原作）作画：BOICHI(最强不良传说作者)空前的SF冒险故事即将开幕！！,https://cf.hamreus.com/cpic/h/23270.jpg,https://www.manhuagui.com/comic/23270/,23270
25,在盛夏等待,2013年,,Z,,,,,2012-07-01,第03回,那一定是对所有人来说一样的喜悦，哀愁，痛苦，将这一切都调和成五味杂陈的可一不可在的。那个盛夏就要开始了。“我，在遇见你之前一直都是死的。”鲁路修·兰佩路基——《反叛的鲁路修》。,https://cf.hamreus.com/cpic/h/4395.jpg,https://www.manhuagui.com/comic/4395/,4395
26,被众神捡到的男孩,2020年,,B,,,,,2020-08-30,第23话,浑身肌肉的竹林龙马因晚上睡觉打喷嚏而死(?)，然后被众神为了解决异世界魔法枯竭问题而送到异世界。竹林龙马的异世界转生故事开始…,https://cf.hamreus.com/cpic/h/34628.jpg,https://www.manhuagui.com/comic/34628/,34628
27,从领民0人开始的边境领主生活,2018年,,C,,,,,2020-08-31,第17话,无意中成为英雄的迪亚斯，却只得到了只有草原的领地。在那里，意外邂逅了有角的少女……,https://cf.hamreus.com/cpic/h/30533.jpg,https://www.manhuagui.com/comic/30533/,30533
28,王牌至尊,2001年,,W,,,,,2015-09-05,第27卷,国中没念完、外送最迅速的热血男儿─武藤国光。原本这辈子都要活在打架与祭典之中，但是他发现到一件事，那就是─日本的政治太腐烂了。武藤国光决心改造日本的腐败政治，让清廉的坂上议员当上市长。不过在距离正式参选之前只剩下3个月，他要如何凑齐100万的竞选保证金呢？,https://cf.hamreus.com/cpic/h/6614.jpg,https://www.manhuagui.com/comic/6614/,6614
29,猎人,2005年,,L,,,,,2019-06-23,第36卷, 日本漫画大师富坚义博继《幽游白书》后的又一部超重量级力作，在《全职猎人HUNTER×HUNTER》的世界里猎人是个很受人尊敬的职业，亦引得无数人来参加猎人的测试，GON在众考生中脱颍而出通过了猎人种种艰难的测试，终于如愿以偿成为一名猎人，但这样就结束了吗？不，真正的试炼才刚刚开始，想知道以后吗？ ,https://cf.hamreus.com/cpic/h/1759.jpg,https://www.manhuagui.com/comic/1759/,1759
