NO,NAME,YEAR,ZONE,LETTER,TYPE_SUM,WRITER,NAME2,STATUS,UPDATE_TIME,NEW_PAGE,DOCUMENT,PICTURE,URL,NUM
30,点满农民相关技能后，不知为何就变强了。,2019年,,D,,,,,2020-02-20,第08话,为了成为顶尖一流的农民，青年不断苦心钻研农民相关技能，终于把最后一项农民技能也练到MAX。然而，自从他的农民技能臻至登峰造极时，他的生活却开始急转到迥然而异的方向……在出乎意料的转折之下，踏上异于农民之人生旅程,https://cf.hamreus.com/cpic/h/32892.jpg,http://www.manhuagui.com/comic/32892/,32892
31,博人传BORUTO,2016年,,B,,,,,2020-02-22,第43话 显现……,七代目火影漩涡鸣人治理的木叶村。那是经历了战争的历史之后人们讴歌和平的时代。但是鸣人与其儿子漩涡博人的关系却并不和平…,https://cf.hamreus.com/cpic/h/20224.jpg,http://www.manhuagui.com/comic/20224/,20224
32,ONE PIECE航海王,1997年,,O,,,,,2020-03-13,第974话 出阵，鬼之岛,《ONE PIECE》（中文译名：海贼王、航海王），是一部连载中的日本少年漫画作品，作者为尾田荣一郎。该作于1997年起在日本漫画杂志《周刊少年Jump》定期连载，另外有同名的电视动画、海贼王剧场版和电子游戏等周边媒体产品。《ONE PIECE》漫画单行本在日本以外的亦已有30多个翻译版本发行，发行量在日本本土突破3亿部，是日本图书出版史上发行量最高的作品。,https://cf.hamreus.com/cpic/h/1128.jpg,http://www.manhuagui.com/comic/1128/,1128
33,一不小心在异世界当上了最强魔王的十个孩子的妈妈,2019年,,Y,,,,,2020-03-21,第09话,在异世界第一次生儿、育女！！？？ 一场交通事故带走了16岁女子高生朱里最爱的母亲。 “好想有一个家庭（归属感）啊！”的愿望传达到了异世界，被作为生育魔王的巫女召唤到了异世界！,https://cf.hamreus.com/cpic/h/32163.jpg,http://www.manhuagui.com/comic/32163/,32163
34,要听神明的话,2012年,,C,,,,,2016-12-30,第2部186回,高畑瞬是个平凡的高中生。一成不变的生活总是令他感到枯燥不堪。然而，他忽然被卷入大规模的死亡威胁之中。第一关是轻举妄动便会爆头身亡的「不倒翁跌倒了（一二三木头人）」。在第二关中，则必须设法替一掌就能将人打成肉饼的巨大招财猫挂上铃铛。眼看着同学们陆续惨死在自己眼前，瞬必须鼓起勇气与神秘的对手斗智，并设法存活下去。,https://cf.hamreus.com/cpic/h/362.jpg,http://www.manhuagui.com/comic/362/,362
35,王牌至尊,2001年,,W,,,,,2015-09-05,第27卷,国中没念完、外送最迅速的热血男儿─武藤国光。原本这辈子都要活在打架与祭典之中，但是他发现到一件事，那就是─日本的政治太腐烂了。武藤国光决心改造日本的腐败政治，让清廉的坂上议员当上市长。不过在距离正式参选之前只剩下3个月，他要如何凑齐100万的竞选保证金呢？,https://cf.hamreus.com/cpic/h/6614.jpg,http://www.manhuagui.com/comic/6614/,6614
36,约定的梦幻岛,2016年,,Y,,,,,2020-05-25,第178话 前往人类世界,被我当成妈妈敬爱的她，并不是亲生母亲。跟我一起生活的他们，也不是兄弟姊妹。艾玛、诺曼、雷三个人住在小小的孤儿院里，每天都过得很幸福。但是，他们的平凡生活突然在某一天宣告结束。知道真相之后，等着他们的命运将会是…？,https://cf.hamreus.com/cpic/h/21142_83.jpg,http://www.manhuagui.com/comic/21142/,21142
37,丘比特的恶作剧「虹玉」,2007年,,Q,,,,,2014-03-01,第07卷,普通的21岁板金工男主角睦月怀有以处男之身跟处女老婆在结婚之夜破处的梦想XD，所以到现在还是处男一只，某日他在想着自己暗恋的女生玲子DIY时没想到居然被国中同学麻美，从玻璃窗外撞见了！转过身来刚好发射在窗户上的睦月发现窗户居然龟裂了……从窗户上顺着JY缓缓掉下来的……是一颗紫色的小钢珠大小的珠子……,https://cf.hamreus.com/cpic/h/12307.jpg,http://www.manhuagui.com/comic/12307/,12307
38,樱桃症候群,2007年,,Y,,,,,2014-03-01,第11卷,邱比特的恶作剧第二弹！樱桃症候群新豋场！不同於第一部以男生的”那个”为主轴的剧情。第二部的主人翁，是个可爱美少女喔，每次爱爱过後，便会出现年纪变小的症状……这……就叫樱桃症候群啦！但是，到底是什麽样的原因造成的呢!?,https://cf.hamreus.com/cpic/h/12308.jpg,http://www.manhuagui.com/comic/12308/,12308
39,S，慾望的印记！,2010年,,S,,,,,2015-10-15,秘密的对话,守田伦，22岁，至今还是个纯情处男。这样的他在屁股上有着形状奇怪的印记。小时候，阿伦还曾经因为这个关系而被女孩子嘲笑过，也因此让他变得没有自信，跟女生的应对也不够成熟。但是某天，他突然得知自己有了个「只要盯着他屁股上的印记看，任何女人都会成为他的囊中物」这种像梦般的力量……？,https://cf.hamreus.com/cpic/h/12314.jpg,https://www.manhuagui.com/comic/12314/,12314
40,从死亡之旅开始的异世界狂想曲,2014年,,C,,,,,2020-06-17,第67话,本应在假寐的程序员铃木一郎（29岁，游戏ID：佐藤）醒来却发现自己被放逐到了异世界！混乱的心情尚未平复却又面临前所未见的怪物大量逼近的危机，慌乱中的他发出了流星雨，回过神的他发现自己拥有了最高级的力量和莫大的财富？！就这样，佐藤的“温暖，时而严肃，还有后宫”的异世界冒险故事开始！,https://cf.hamreus.com/cpic/h/15495.jpg,https://www.manhuagui.com/comic/15495/,15495
41,女朋友、借我一下,2017年,,N,,,,,2020-07-29,第150话,这是在只有一次的租借中，闪烁着的璀璨真实！ 由‘虚假’开始的‘真实’物语！,https://cf.hamreus.com/cpic/h/24591.jpg,http://www.manhuagui.com/comic/24591/,24591
42,彼得·格里尔的贤者时间,2017年,,B,,,,,2020-06-20,第26话,与异种族女性一夜荒唐之后！后悔为什幺没能把持住！！在武斗会中胜出并获得最强称号的彼得·格里尔。在差不多快和女友结婚之时，追求最强遗传因子的异种族女性们集结迫近。,https://cf.hamreus.com/cpic/h/25449.jpg,http://www.manhuagui.com/comic/25449/,25449
43,將太的壽司-全國大賽篇,2008年,日本漫畫,J,勵志|職場,寺沢大介,將太の壽司全國大會編,已完結,,<span class=＂finish＂>,終於到了壽司師傅新人賽之全國大賽當天，將太除了面對師兄佐治安人及大年寺之外，還有一個強勁的對手，也就是來自大阪的代表－阪田利人。在第一道課題的刀工比賽和第二道課題的蛋壽司中，將太居於優勢的情勢突然有了重大的轉變...,https://cf.hamreus.com/cpic/h/5254.jpg,http://tw.manhuagui.com/comic/5254/,5254
